2024-04-08 14:31:52.179854, [Type.TEMPERATURE: 25.023269653320312 Unit.CELCIUS, Type.HUMIDITY: 20.14169692993164 Unit.HUMIDITY, Type.LUMINOSITY: 9468 Unit.LUX]
2024-04-08 14:31:53.178797, [Type.TEMPERATURE: 25.19054412841797 Unit.CELCIUS, Type.HUMIDITY: 20.17536163330078 Unit.HUMIDITY, Type.LUMINOSITY: 9455 Unit.LUX]
2024-04-08 14:31:54.180274, [Type.TEMPERATURE: 25.306320190429688 Unit.CELCIUS, Type.HUMIDITY: 20.16439437866211 Unit.HUMIDITY, Type.LUMINOSITY: 9474 Unit.LUX]
2024-04-08 14:31:55.179696, [Type.TEMPERATURE: 25.41351318359375 Unit.CELCIUS, Type.HUMIDITY: 20.242977142333984 Unit.HUMIDITY, Type.LUMINOSITY: 9437 Unit.LUX]
2024-04-08 14:31:56.179775, [Type.TEMPERATURE: 25.560951232910156 Unit.CELCIUS, Type.HUMIDITY: 20.224380493164062 Unit.HUMIDITY, Type.LUMINOSITY: 9415 Unit.LUX]
2024-04-08 14:31:57.178817, [Type.TEMPERATURE: 25.657081604003906 Unit.CELCIUS, Type.HUMIDITY: 20.23172378540039 Unit.HUMIDITY, Type.LUMINOSITY: 9478 Unit.LUX]
2024-04-08 14:31:58.181804, [Type.TEMPERATURE: 25.7537841796875 Unit.CELCIUS, Type.HUMIDITY: 20.215320587158203 Unit.HUMIDITY, Type.LUMINOSITY: 9454 Unit.LUX]
2024-04-08 14:31:59.180653, [Type.TEMPERATURE: 25.843429565429688 Unit.CELCIUS, Type.HUMIDITY: 20.292091369628906 Unit.HUMIDITY, Type.LUMINOSITY: 9408 Unit.LUX]
2024-04-08 14:32:00.178783, [Type.TEMPERATURE: 25.975418090820312 Unit.CELCIUS, Type.HUMIDITY: 20.297527313232422 Unit.HUMIDITY, Type.LUMINOSITY: 9397 Unit.LUX]
2024-04-08 14:32:01.191126, [Type.TEMPERATURE: 26.113128662109375 Unit.CELCIUS, Type.HUMIDITY: 20.348358154296875 Unit.HUMIDITY, Type.LUMINOSITY: 9412 Unit.LUX]
